Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Brew_ID,City,State
Kludde,627,0.085,NA,11,Belgian Strong Dark Ale,16,11,Grand Rapids,MI
Farm Hand,387,0.055,NA,11,Saison / Farmhouse Ale,16,11,Grand Rapids,MI
Solitude,385,0.06,NA,11,Belgian Pale Ale,16,11,Grand Rapids,MI
Triomphe,384,0.065,NA,11,Belgian IPA,16,11,Grand Rapids,MI
Sparkle,2635,0.041,12,12,American Pale Lager,16,12,Petoskey,MI
North 45 Amber Ale,1404,0.059,25,12,American Amber / Red Ale,16,12,Petoskey,MI
Horny Monk,1403,0.069,20,12,Dubbel,16,12,Petoskey,MI
Mind's Eye PA,1402,0.067,74,12,American IPA,16,12,Petoskey,MI
Nordskye,2634,0.048,47,13,American IPA,12,13,Marquette,MI
North Third Stout,2153,0.06,30,13,Foreign / Export Stout,12,13,Marquette,MI
Honey Lav,1953,0.052,NA,13,American Pale Wheat Ale,12,13,Marquette,MI
Coconut Brown Ale,1496,0.068,NA,13,American Brown Ale,12,13,Marquette,MI
51K IPA,1481,0.07,51,13,American IPA,12,13,Marquette,MI
Grand Rabbits,1480,0.055,NA,13,Cream Ale,12,13,Marquette,MI
Hotbox Brown,2633,0.055,10,14,American Brown Ale,12,14,Comstock Park,MI
Gold,2632,0.048,15,14,American Blonde Ale,12,14,Comstock Park,MI
Black,2631,0.058,NA,14,American Black Ale,12,14,Comstock Park,MI
98 Problems (Cuz A Hop Ain't One),2630,0.065,65,14,American IPA,12,14,Comstock Park,MI
Veteran’s Pale Ale (VPA),2629,0.05,40,14,American Pale Ale (APA),12,14,Comstock Park,MI
Grapefruit IPA,2628,0.05,35,14,American IPA,12,14,Comstock Park,MI
Train Hopper,2627,0.058,72,15,American IPA,12,15,South Lyon,MI
Edward’s Portly Brown,2626,0.045,NA,15,American Brown Ale,12,15,South Lyon,MI
Dirty Bastard,2625,0.085,50,16,Scotch Ale / Wee Heavy,12,16,Grand Rapids,MI
Centennial IPA,1565,0.072,65,16,American IPA,12,16,Grand Rapids,MI
All Day IPA,1223,0.047,42,16,American IPA,12,16,Grand Rapids,MI
Deflator,2624,0.065,NA,17,Doppelbock,16,17,Indianapolis,IN
Hinchtown Hammer Down,2284,0.05,27,17,American Blonde Ale,16,17,Indianapolis,IN
Half Cycle IPA,1610,0.06,104,17,American IPA,16,17,Indianapolis,IN
Cafe Leche,2623,0.058,20,18,American Porter,16,18,Evansville,IN
Damascene Apricot Sour,2622,0.052,12,18,Fruit / Vegetable Beer,16,18,Evansville,IN
Csar,2621,0.12,90,18,Russian Imperial Stout,16,18,Evansville,IN
Klingon Warnog Roggen Dunkel,1817,0.055,NA,18,Roggenbier,16,18,Evansville,IN
Overlord Imperial IPA,1449,0.085,115,18,American Double / Imperial IPA,16,18,Evansville,IN
Alloy,951,0.058,36,18,American IPA,16,18,Evansville,IN
Rivet Irish Red Ale,950,0.051,22,18,Irish Red Ale,16,18,Evansville,IN
3 Gear Robust Porter,949,0.052,50,18,American Porter,16,18,Evansville,IN
Circuit Bohemian Pilsner,948,0.045,35,18,Czech Pilsener,16,18,Evansville,IN
Saucy Intruder,2620,0.072,75,19,Rye Beer,16,19,Indianapolis,IN
Insert Hop Reference,2619,0.058,NA,20,American Pale Ale (APA),16,20,Plainfield,IN
Thai.p.a,2618,0.07,46,21,American IPA,16,21,Granger,IN
Citra Faced,2617,0.055,64,22,American Pale Wheat Ale,16,22,Martinsville,IN
Pole Barn Stout,2616,0.055,31,22,Oatmeal Stout,16,22,Martinsville,IN
Pale,2615,0.054,37,22,American Pale Ale (APA),16,22,Martinsville,IN
Yoshi's Nectar,2614,0.053,27,22,California Common / Steam Beer,16,22,Martinsville,IN
Feel Like Maplin' Love,2613,0.055,NA,23,Oatmeal Stout,16,23,Valparaiso,IN
Father's Beer,2612,0.05,NA,23,Belgian Pale Ale,16,23,Valparaiso,IN
The 26th,2611,0.06,NA,23,American IPA,16,23,Valparaiso,IN
The Gadget,2610,0.064,90,23,American IPA,16,23,Valparaiso,IN
Tribute,2609,0.058,58,24,American Pale Ale (APA),12,24,Indianapolis,IN
Wrath of Pele,2608,0.065,NA,25,American Brown Ale,16,25,Michigan City,IN
Black Beer'd,2607,0.068,NA,25,American Black Ale,16,25,Michigan City,IN
Mr. Tea,2606,0.078,NA,25,Fruit / Vegetable Beer,24,25,Michigan City,IN
Pale Alement,2478,0.055,40,25,American Pale Ale (APA),12,25,Michigan City,IN
Hopkick Dropkick,2471,0.099,115,25,American Double / Imperial IPA,12,25,Michigan City,IN
Kreamed Corn,2470,0.06,NA,25,Cream Ale,12,25,Michigan City,IN
Coconoats,2464,0.065,NA,25,American Pale Wheat Ale,16,25,Michigan City,IN
Joey Wheat,2160,0.068,16,25,American Pale Wheat Ale,16,25,Michigan City,IN
3:33 Black IPA,2158,0.072,86,25,American IPA,16,25,Michigan City,IN
MCA,2072,0.068,NA,25,American IPA,16,25,Michigan City,IN
Pale Alement,2054,0.055,40,25,American Pale Ale (APA),16,25,Michigan City,IN
Tip Off,2605,0.052,29,26,Altbier,16,26,Indianapolis,IN
Java Mac,2215,0.054,NA,26,Scottish Ale,16,26,Indianapolis,IN
